Region;Sector;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
DEU;oil;3.369436374;3.86261017;4.723514179;5.258801056;5.773603943;6.114979255;6.65643545;6.799856858;6.976712594;7.259730263
DEU;gas;0.781154577;0.80026213;0.829191647;0.823957123;0.85913057;0.892769946;0.905910199;0.910577438;0.964033751;1.087546992
DEU;ppp;2.289261645;2.508455701;2.647418857;2.941157906;3.012862204;3.312894721;3.434639394;3.764525184;4.09661355;5.12196135
DEU;nmm;0.364427355;0.441150457;0.529772087;0.621300405;0.692435615;0.726455455;0.758188026;0.791490867;0.884069858;0.990159031
DEU;nfm;0.000960571;0.001234573;0.001464048;0.001812916;0.002300728;0.002464302;0.002431905;0.002454505;0.002820761;0.003009623
DEU;mvh;2.132021397;2.371539972;3.442034101;5.343679889;5.674193148;6.627436857;6.701352576;10.824625;12.80981702;22.81675189
DEU;ele;4.550007716;4.210354649;4.172936872;3.914860162;4.037345674;4.043498829;4.067768799;4.047097807;4.051118256;4.141278854
DEU;COL;0.025566806;0.020455978;0.018430943;0.017024541;0.019698466;0.020317776;0.020942533;0.020713141;0.019208142;0.018323147
DEU;CRU;0.00311907;0.002956414;0.003227636;0.003587012;0.003740161;0.003745945;0.004159733;0.004044719;0.004264703;0.004588595
DEU;CHM;3.248717962;3.673797394;4.021146479;4.438869044;4.738331664;5.181320586;5.492857711;5.766866517;5.933872451;6.585057736
DEU;IRS;0.000181515;0.000233292;0.000276654;0.000342579;0.000434758;0.000465668;0.000459546;0.000463817;0.000533027;0.000568715
DEU;MAC;2.626072191;3.129357093;4.063775334;5.067900107;5.458880918;6.154301304;6.534100282;8.568529386;9.745716183;14.75247349
DEU;FOT;16.92058587;16.70433685;17.29170335;17.11045239;17.7055183;17.79320825;18.19360086;18.05791579;17.64773011;18.08649505
DEU;ROI;7.40797785;8.450817575;9.568759875;10.92728772;11.80988699;12.96249306;14.23410881;15.23002193;16.76140368;21.12088621
DEU;BUI;0.203241047;0.225828502;0.277537101;0.388779302;0.496724552;0.483753926;0.541235598;0.633085426;0.791585056;0.861497673
DEU;TRN;3.890261283;4.137036793;3.862990633;4.349234987;4.313690302;4.964726453;5.016266365;5.913463703;6.981563539;10.56314294
